networksize,algorithm and ordering,run 1,run 2,run 3,run 4,run 5
5,map_random,33167,65788,54163,50066,52155
5,map_min_fill,25894,57136,43904,43985,51762
5,map_min_degree,25730,57681,52876,62018,64912
5,mpe_random,37650,43844,31457,29586,35738
5,mpe_min_fill,37695,37695,37695,37695,37695
5,Mpe_min_degree,37650,43844,31457,29586,35738
10,map_random,193560,175657,211926,228165,261659
10,map_min_fill,174906,141321,183535,213230,172846
10,map_min_degree,187884,138816,196596,241300,179099
10,mpe_random,41947,55935,40518,51413,40652
10,mpe_min_fill,40778,40778,40778,40778,40778
10,Mpe_min_degree,41947,55935,40518,51413,40652
15,map_random,390355,473779,409078,510666,535987
15,map_min_fill,337868,291743,359084,293592,340826
15,map_min_degree,359809,291373,356776,278286,311536
15,mpe_random,73798,55127,116149,70017,75038
15,mpe_min_fill,74326,74326,74326,74326,74326
15,Mpe_min_degree,73798,55127,116149,70017,75038
20,map_random,1177597,1187757,984506,986767,879465
20,map_min_fill,658026,560426,495054,606075,511332
20,map_min_degree,684024,668735,593161,629759,648777
20,mpe_random,151309,129591,126785,246066,147679
20,mpe_min_fill,155870,155870,155870,155870,155870
20,Mpe_min_degree,151309,129591,126785,246066,147679
25,map_random,5147337,3831187,5327315,2996309,3488999
25,map_min_fill,1401508,1224758,1392649,1331995,1319236
25,map_min_degree,1455531,1251502,1284098,1333334,1339603
25,mpe_random,180268,158487,486861,2118129,134879
25,mpe_min_fill,178217,178217,178217,2178217,178217
25,Mpe_min_degree,180268,158487,486861,2118129,134879
30,map_random,127254038,7862062,4960651,37379392,10287182
30,map_min_fill,2259109,1347603,1397266,1360805,1332974
30,map_min_degree,2049088,1303239,1543991,1544899,1294571
30,mpe_random,132070,102574,116931,130267,110240
30,mpe_min_fill,134054,134054,134054,134054,134054
30,Mpe_min_degree,132070,102574,116931,130267,110240
35,map_random,10280757,72283753,18889147,88113592,2720974
35,map_min_fill,3362935,2397347,2291637,2209307,2385819
35,map_min_degree,2258779,2147476,1995729,1977748,1891920
35,mpe_random,108392,130355,104927,130753,122853
35,mpe_min_fill,105702,105702,105702,105702,105702
35,Mpe_min_degree,108392,130355,104927,130753,122853
